2,愛情，如此完美卻又失落，皖雅的結局，苦澀卻又實際地描繪了宮廷女子悲婉的一生。
4,書今天朋友已經收到了。
6,對於整個購書過程我很滿意。
8,兩代人之間的鴻溝在優美的文字中慢慢地彌合，讓我回味、思考了很多。
10,書中攝影作品以及文字都向讀者呈現另一個完全不同的時空，我想熱衷於此苦旅之樂的人們，受得起苦，覺得萬分值得的也是這一份精神體驗的快樂。
12,看完這本書的時候，我內心對愛情的看法再次進行了調整，身不由己的調整。
14,不過，很滿足，平淡才最真實~~
16,我們的生活中也需要激情，在小說當中會找到我們也曾有過的戀愛的感覺。
18,學會愛，抓住愛，把握愛，珍惜愛，那就會有幸福。
20,看了此書對中醫養生有了更濃厚的興趣，當然尤其是能使自己又美麗又健康的法子，正在嘗試，但願有效果。
22,嘻嘻，女人就是愛折騰，只要能讓自己變美，就絕不怕麻煩，所以，從這個方面講，算是本好書吧
24,書裏傷感的情節而落過淚感嘆唏噓但是這不是我要的每個人追求的愛情不一樣，有些感受卻是可以一樣的吧
26,看完這本書，確實對我幫助很大，可以客觀、理智地分析問題。
28,正如書的名稱，三毛的這本早期作品不同於後期成熟後那個樂觀堅強的三毛，而是記錄了當三毛還是二毛時的經歷，心境，是她年少時那個愛做夢，有些神經質，傷感的雨季的縮影。
30,張競生先生的愛情觀開國人之先河，在情海愛河中自由的遨遊真是不亦快哉！
32,書中的優美語言如潺潺流水般娓娓道來，給人以美的享受。
34,每次閱讀都會有新的感受，也決定了，不管什麼時候，看到學術講座的書都要買下來好好閱讀好好學習。
36,這是我多年看書的體會。
38,這本小書非常契合小孩子的心理特點，寫得、畫得都是妙趣橫生，因此小朋友的喜歡不言而喻！
40,圖畫過於煩瑣，看的人心煩意亂；文字更是不知所云，壓根不是中國人在說話。
42,倒是“兔子”深得我跟孩子們的喜歡。
44,書中64個例子，從不同的方面詮釋了“編程之美”，遊戲的樂趣，數字的魅力，數字的樂趣，結構之美，這樣的四個部分，最讓我感覺到印象深刻的是遊戲樂趣。
46,珍兒與之心，從最初的愛上，到經歷了坎坷，抵制了誘惑，始終如一，只深愛對方。
48,這無可厚非，人應該先愛自己，才能去愛別人。
50,張曼娟的文字和張小嫻一樣，都屬於療傷係，雖然我沒有受傷，但這並不影響我對她的喜愛。
52,爱她那份淡定從容，愛她那份心細如塵，愛她那份溫柔似水。
54,沒有景緻沒有文采沒有著作的痕蹟沒有大師的精美。
56,但對異地戀失敗的人，是一杯溫水，可以灌溉貌似枯死的愛的能力。
58,長恨歌，我想王琦瑤只是追求自己的幸福，從李主任時是青春追求名利，康明遜時追求的安穩的生活，老克臘追求的晚年孤獨的陪伴，只是她的追求都破滅了～我想如果程先生沒有在文革的時候自殺了，也許晚年的王琦瑤就會願意了吧，願意只有恩情而沒有愛情的陪伴了吧～很不錯的一本書～王安憶說過，她筆下的王琦瑤代表的是一座城市～值得一看哈～
60,一段悽美的愛情故事，當文字也在哭泣時，或許我們就懂得什麼是悽美，什麼是悲情。
62,對於一本廣受好評的書“錦上添花”多少有點多餘，讓人有所收穫是每一個閱讀人的願望。
64,但是當真相來臨，我想心不痛是不可能的。
66,迫不及待地打開來欣賞，果然是期望中的繁體版，更加興奮。
68,臨近畢業，好友一個個離開，雖然沒有過多的描寫，但不免看了讓人心酸，就在一年前我也經歷了一場場大學好友的分離痛苦。
70,畫得好噁心!孩子看的時侯就嚇哭了!到了晚上更是不敢睡覺!買了書還帶來了新的煩惱!比起＜青蛙弗洛格＞＞＜＜蹦蹦跳跳＞＞＜＜小熊毛毛＞＞這個卡梅拉要遜色好多!這本書不太適合六歲前的孩子看.
