1,JasonRoaHu,5,5
1,eddy82465,3,7
1,abc343665,3,7
1,silvster,4,5
1,yueyuanlv,3,3
1,mike031218,2,8
1,spaceristic,5,4
1,billhsiau,3,3
1,chungweng0928,4,3
1,jerryjerryjerryy,5,1
2,uechian14,1,1
2,abc343665,3,6
2,peiru19940227,3,3
2,babyish1225,4,1
2,serenacds,3,5
2,jim4060304,5,2
2,gogomaurice72,3,3
2,asdpig601405,4,3
2,smith0918,6,2
2,spaceristic,5,7
3,ss27713084,3,4
3,abc343665,3,6
3,babyish1225,3,1
3,peiru19940227,3,3
3,eddy82465,5,5
3,asdpig601405,4,3
3,spaceristic,5,4
3,gogomaurice72,3,7
3,AAmark543,3,1
3,wangjin0818,4,4
4,joeyshia,5,1
4,jim4060304,5,2
4,spaceristic,6,4
4,peiru19940227,5,3
4,chungweng0928,5,5
4,yehkuosu,5,3
4,uechian14,5,5
4,s067955609,9,7
4,abc343665,5,4
4,yunchaohe,7,6
5,about0506,6,3
5,jerryjerryjerryy,6,2
5,mike031218,7,5
5,yehkuosu,6,6
5,rosa.shen,6,4
5,spaceristic,5,4
5,yunchaohe,7,7
5,stb61307,7,6
5,aser2589,8,6
5,chungweng0928,6,5
6,abc343665,8,3
6,rosa.shen,6,5
6,jerryjerryjerryy,7,2
6,asdpig601405,9,3
6,766wjq,7,3
6,gogomaurice72,4,3
6,cokecolalala,8,8
6,babyish1225,7,1
6,uechian14,5,5
6,mike031218,8,8
7,babyish1225,6,2
7,spaceristic,4,6
7,stb61307,8,8
7,AAmark543,9,5
7,mobetap,7,6
7,rosa.shen,6,5
7,smith0918,8,7
7,jerryjerryjerryy,7,3
7,chungweng0928,7,6
7,silvster,8,6
8,uechian14,6,6
8,joeyshia,6,3
8,stb61307,7,7
8,mobetap,6,4
8,mike031218,7,5
8,jerryjerryjerryy,7,1
8,766wjq,6,4
8,billhsiau,6,2
8,aser2589,7,4
8,yehkuosu,6,6
9,yehkuosu,5,5
9,smith0918,7,3
9,mike031218,6,5
9,jerryjerryjerryy,5,1
9,spaceristic,7,5
9,wangjin0818,7,6
9,silvster,7,6
9,babyish1225,7,2
9,rosa.shen,6,5
9,serenacds,7,5
10,abc343665,7,6
10,wangjin0818,6,5
10,ss27713084,7,5
10,eddy82465,6,5
10,yehkuosu,6,6
10,about0506,6,3
10,silvster,6,6
10,mobetap,6,6
10,uechian14,3,3
10,stb61307,7,6
11,smith0918,5,1
11,about0506,3,3
11,eddy82465,5,5
11,jerryjerryjerryy,5,1
11,dsc02017,7,3
11,abc343665,6,7
11,uechian14,6,6
11,spaceristic,6,5
11,ourwayhu,6,3
11,joeyshia,5,4
12,mike031218,7,6
12,joeyshia,5,3
12,yehkuosu,6,6
12,yueyuanlv,5,4
12,spaceristic,3,6
12,babyish1225,6,2
12,stb61307,5,5
12,serenacds,4,4
12,peiru19940227,5,5
12,uechian14,5,5
13,about0506,7,3
13,gogomaurice72,3,3
13,uechian14,1,1
13,stb61307,5,5
13,ss27713084,5,6
13,spaceristic,4,6
13,766wjq,5,2
13,asdpig601405,5,3
13,aser2589,3,6
13,jerryjerryjerryy,5,1
14,yehkuosu,6,5
14,jerryjerryjerryy,5,1
14,stb61307,6,5
14,eddy82465,5,5
14,yueyuanlv,6,5
14,gogomaurice72,5,1
14,billhsiau,7,2
14,asdpig601405,6,3
14,abc343665,7,5
14,uechian14,6,6
15,ss27713084,4,5
15,dsc02017,4,3
